,ID,Date Issued,Due Date,Date Resolved,LAT,LON,Location,Observation Type,Category,Subcontractor,Month,Year,On Time
0,5,2022-04-12,,4/12/2022,40.74622,-73.98205,33rd Street,Positive Observation,"Signs, Signals & Barricades",,4,2022,No Due Date
1,6,2022-04-14,,,40.74622,-73.98205,33rd Street,Positive Observation,Personal Safety & Life Saving Equipment,,4,2022,No Due Date
2,9,2022-04-20,,,40.74622,-73.98205,33rd Street,Positive Observation,"Signs, Signals & Barricades",,4,2022,No Due Date
3,51,2022-10-12,,10/12/2022,40.74622,-73.98205,33rd Street,Negative Observation,Stairways & Ladders,MLJTC2,10,2022,No Due Date
4,52,2022-10-05,10/6/2022,10/6/2022,40.74622,-73.98205,33rd Street,OSHA Recordable Accident,"Motor Vehicles, Mechanized Equipment, Marine Operations",MLJTC2,10,2022,Closed - On Time
5,54,2022-10-27,10/27/2022,,40.74622,-73.98205,33rd Street,Positive Observation,Public Exposure: MPT,"Crossroads JV, LLC.",10,2022,Open - Late
5,54,2022-10-27,10/27/2022,,40.74622,-73.98205,33rd Street,Positive Observation, Fall Protection,"Crossroads JV, LLC.",10,2022,Open - Late
5,54,2022-10-27,10/27/2022,,40.74622,-73.98205,33rd Street,Positive Observation, Fire Protection and Prevention,"Crossroads JV, LLC.",10,2022,Open - Late
6,61,2022-11-22,12/8/2022,,40.74622,-73.98205,33rd Street,Negative Observation,Fire Protection and Prevention,MLJTC2,11,2022,Open - Late
6,61,2022-11-22,12/8/2022,,40.74622,-73.98205,33rd Street,Negative Observation, Housekeeping,MLJTC2,11,2022,Open - Late
7,109,2023-01-12,1/12/2023,,40.74622,-73.98205,33rd Street,Positive Observation,Fire Protection and Prevention,"Crossroads JV, LLC.",1,2023,Open - Late
7,109,2023-01-12,1/12/2023,,40.74622,-73.98205,33rd Street,Positive Observation, Fall Protection,"Crossroads JV, LLC.",1,2023,Open - Late
7,109,2023-01-12,1/12/2023,,40.74622,-73.98205,33rd Street,Positive Observation, Housekeeping,"Crossroads JV, LLC.",1,2023,Open - Late
7,109,2023-01-12,1/12/2023,,40.74622,-73.98205,33rd Street,Positive Observation, Public Exposure: Site Protection,"Crossroads JV, LLC.",1,2023,Open - Late
8,110,2023-01-12,1/12/2023,1/12/2023,40.74622,-73.98205,33rd Street,Negative Observation,,MLJTC2,1,2023,Closed - On Time
9,113,2023-01-20,1/20/2023,,40.74622,-73.98205,33rd Street,Positive Observation,Public Exposure: Site Protection,Providence Construction Corp.,1,2023,Open - Late
9,113,2023-01-20,1/20/2023,,40.74622,-73.98205,33rd Street,Positive Observation, Personal Safety & Life Saving Equipment,Providence Construction Corp.,1,2023,Open - Late
9,113,2023-01-20,1/20/2023,,40.74622,-73.98205,33rd Street,Positive Observation, Fire Protection and Prevention,Providence Construction Corp.,1,2023,Open - Late
9,113,2023-01-20,1/20/2023,,40.74622,-73.98205,33rd Street,Positive Observation, Public Exposure: MPT,Providence Construction Corp.,1,2023,Open - Late
9,113,2023-01-20,1/20/2023,,40.74622,-73.98205,33rd Street,Positive Observation, Fall Protection,Providence Construction Corp.,1,2023,Open - Late
10,114,2023-01-24,1/24/2023,,40.74622,-73.98205,33rd Street,Positive Observation,Electrical,"Crossroads JV, LLC.",1,2023,Open - Late
10,114,2023-01-24,1/24/2023,,40.74622,-73.98205,33rd Street,Positive Observation, Housekeeping,"Crossroads JV, LLC.",1,2023,Open - Late
10,114,2023-01-24,1/24/2023,,40.74622,-73.98205,33rd Street,Positive Observation, Excavations,"Crossroads JV, LLC.",1,2023,Open - Late
