,WalkingDuration,Start_Stop,End_Stop,Start_Geom,End_Geom,Line
0,6 mins,Canal St,Spring St,POINT (-74.00019299927328 40.71880300107709),POINT (-73.99714100006673 40.72230099999366),4-6-6 Express
1,6 mins,Spring St,Bleecker St,POINT (-73.99714100006673 40.72230099999366),POINT (-73.99465900006331 40.72591466682659),4-6-6 Express
2,7 mins,Bleecker St,Astor Pl,POINT (-73.99465900006331 40.72591466682659),POINT (-73.99106999861966 40.73005400028978),4-6-6 Express
3,15 mins,Astor Pl,23rd St,POINT (-73.99106999861966 40.73005400028978),POINT (-73.98659900207888 40.739864000474604),4-6-6 Express
4,5 mins,23rd St,28th St,POINT (-73.98659900207888 40.739864000474604),POINT (-73.98426400110407 40.743069999259035),4-6-6 Express
5,5 mins,28th St,33rd St,POINT (-73.98426400110407 40.743069999259035),POINT (-73.98207600148947 40.74608099909145),4-6-6 Express
6,8 mins,68th St - Hunter College,77th St,POINT (-73.96387000158042 40.76814100049679),POINT (-73.95987399886047 40.77362000074615),4-6-6 Express
7,8 mins,96th St,103rd St,POINT (-73.9510700015425 40.78567199998607),POINT (-73.94747800152219 40.79060000008452),4-6-6 Express
8,7 mins,103rd St,110th St,POINT (-73.94747800152219 40.79060000008452),POINT (-73.94424999687163 40.795020000113105),4-6-6 Express
9,6 mins,110th St,116th St,POINT (-73.94424999687163 40.795020000113105),POINT (-73.9416169983714 40.7986290002001),4-6-6 Express
10,5 mins,Franklin St,Canal St,POINT (-74.00688600277107 40.719318001302135),POINT (-74.0062770001748 40.72285399778783),1-2
11,8 mins,Canal St,Houston St,POINT (-74.0062770001748 40.72285399778783),POINT (-74.00536700180581 40.728251000730204),1-2
12,8 mins,Houston St,Christopher St - Sheridan Sq,POINT (-74.00536700180581 40.728251000730204),POINT (-74.00290599855235 40.73342200104225),1-2
13,12 mins,Christopher St - Sheridan Sq,18th St,POINT (-74.00290599855235 40.73342200104225),POINT (-73.99787100060406 40.741039999802105),1-2
14,5 mins,18th St,23rd St,POINT (-73.99787100060406 40.741039999802105),POINT (-73.9956570016487 40.74408099989751),1-2
15,5 mins,23rd St,28th St,POINT (-73.9956570016487 40.74408099989751),POINT (-73.99336500134324 40.74721499918219),1-2
16,11 mins,50th St,59th St - Columbus Circle,POINT (-73.98384899986625 40.76172799961419),POINT (-73.98192900232715 40.76824700063689),1-2
17,8 mins,59th St - Columbus Circle,66th St - Lincoln Ctr,POINT (-73.98192900232715 40.76824700063689),POINT (-73.98220899995783 40.77344000052039),1-2
18,8 mins,79th St,86th St,POINT (-73.97991700056134 40.78393399959032),POINT (-73.97621799859327 40.78864400073892),1-2
19,10 mins,Eastern Pkwy - Bklyn Museum,Grand Army Plaza,POINT (-73.96422203748425 40.67203223545925),POINT (-73.9709563319228 40.6752946951032),2-3-4
20,8 mins,Grand Army Plaza,Bergen St,POINT (-73.9709563319228 40.6752946951032),POINT (-73.97499915116808 40.68086213682956),2-3-4
21,8 mins,Saratoga Ave,Rockaway Ave,POINT (-73.91633025007947 40.6615297898075),POINT (-73.90895833584449 40.66261748815223),3-4
22,7 mins,Rockaway Ave,Junius St,POINT (-73.90895833584449 40.66261748815223),POINT (-73.90244864183562 40.66358900181724),3-4
23,9 mins,Junius St,Pennsylvania Ave,POINT (-73.90244864183562 40.66358900181724),POINT (-73.89488591154061 40.66471445143568),3-4
24,5 mins,Van Siclen Ave,New Lots Ave,POINT (-73.88940491730106 40.665517963059635),POINT (-73.88411070800329 40.6663149325969),3-4
25,9 mins,Crown Hts - Utica Ave,Kingston Ave,POINT (-73.93293256081851 40.66897831107809),POINT (-73.94215978392963 40.66948144864978),3-4
26,9 mins,Kingston Ave,Nostrand Ave,POINT (-73.94215978392963 40.66948144864978),POINT (-73.9504262489579 40.66993815093054),3-4
27,11 mins,South Ferry,Rector St,POINT (-74.01316895919258 40.701730507574474),POINT (-74.01378300119742 40.707512999521775),1
28,6 mins,Rector St,Cortlandt St,POINT (-74.01378300119742 40.707512999521775),POINT (-74.01218800112292 40.7118350008202),1
29,2 hours 16 mins,Cortlandt St,103rd St,POINT (-74.01218800112292 40.7118350008202),POINT (-73.96837899960818 40.799446000334825),1
30,7 mins,103rd St,Cathedral Pkwy (110th St),POINT (-73.96837899960818 40.799446000334825),POINT (-73.9668470005456 40.80396699961484),1
31,6 mins,Cathedral Pkwy (110th St),116th St - Columbia University,POINT (-73.9668470005456 40.80396699961484),POINT (-73.96410999757751 40.807722001230864),1
32,11 mins,116th St - Columbia University,125th St,POINT (-73.96410999757751 40.807722001230864),POINT (-73.95837200097044 40.815580999978934),1
33,12 mins,125th St,137th St - City College,POINT (-73.95837200097044 40.815580999978934),POINT (-73.95367600087873 40.82200799968475),1
34,8 mins,137th St - City College,145th St,POINT (-73.95367600087873 40.82200799968475),POINT (-73.95035999879713 40.82655099962194),1
35,13 mins,145th St,157th St,POINT (-73.95035999879713 40.82655099962194),POINT (-73.94488999901047 40.8340410001399),1
36,12 mins,157th St,168th St,POINT (-73.94488999901047 40.8340410001399),POINT (-73.94013299907257 40.840555999148535),1
37,10 mins,181st St,191st St,POINT (-73.9335959996056 40.84950499974065),POINT (-73.92941199742039 40.85522500175836),1
38,11 mins,191st St,Dyckman St,POINT (-73.92941199742039 40.85522500175836),POINT (-73.92553600006474 40.86053100138796),1
39,10 mins,Dyckman St,207th St,POINT (-73.92553600006474 40.86053100138796),POINT (-73.91881900132312 40.864614000525854),1
40,8 mins,207th St,215th St,POINT (-73.91881900132312 40.864614000525854),POINT (-73.91527899954356 40.86944399946045),1
41,9 mins,215th St,Marble Hill - 225th St,POINT (-73.91527899954356 40.86944399946045),POINT (-73.90983099923551 40.87456099941789),1
42,8 mins,Marble Hill - 225th St,231st St,POINT (-73.90983099923551 40.87456099941789),POINT (-73.90483400107873 40.87885599817935),1
43,9 mins,231st St,238th St,POINT (-73.90483400107873 40.87885599817935),POINT (-73.90087000018522 40.88466700064975),1
44,7 mins,238th St,Van Cortlandt Park - 242nd St,POINT (-73.90087000018522 40.88466700064975),POINT (-73.89858300049647 40.88924800011476),1
45,9 mins,72nd St,81st St,POINT (-73.976336575218 40.77551939729258),POINT (-73.97209794937208 40.78134608418206),A-B-C
46,7 mins,81st St,86th St,POINT (-73.97209794937208 40.78134608418206),POINT (-73.96882849429672 40.78582304678557),A-B-C
47,9 mins,86th St,96th St,POINT (-73.96882849429672 40.78582304678557),POINT (-73.96460245687166 40.79161879767014),A-B-C
48,7 mins,96th St,103rd St,POINT (-73.96460245687166 40.79161879767014),POINT (-73.96137008267617 40.796060739904526),A-B-C
49,7 mins,103rd St,Cathedral Pkwy (110th St),POINT (-73.96137008267617 40.796060739904526),POINT (-73.95806670661364 40.800581558114956),A-B-C
50,7 mins,Cathedral Pkwy (110th St),116th St,POINT (-73.95806670661364 40.800581558114956),POINT (-73.95479778057312 40.80505813344211),A-B-C
51,10 mins,Van Siclen Ave,Shepherd Ave,POINT (-73.8903580002471 40.67270999906104),POINT (-73.88074999747269 40.6741300014559),A-C
52,15 mins,Liberty Ave,Broadway Junction,POINT (-73.89654800103929 40.67454199987086),POINT (-73.90531600055341 40.67833366608023),A-C
53,8 mins,Broadway Junction,Rockaway Ave,POINT (-73.90531600055341 40.67833366608023),POINT (-73.91194599726617 40.678339999883505),A-C
54,9 mins,Rockaway Ave,Ralph Ave,POINT (-73.91194599726617 40.678339999883505),POINT (-73.92078599933306 40.678822000873375),A-C
55,11 mins,Ralph Ave,Utica Ave,POINT (-73.92078599933306 40.678822000873375),POINT (-73.93072899914027 40.67936399950546),A-C
56,11 mins,Utica Ave,Kingston - Throop Aves,POINT (-73.93072899914027 40.67936399950546),POINT (-73.94085899871263 40.67991899941601),A-C
57,10 mins,Kingston - Throop Aves,Nostrand Ave,POINT (-73.94085899871263 40.67991899941601),POINT (-73.95042600099683 40.68043800006226),A-C
58,7 mins,Nostrand Ave,Franklin Ave,POINT (-73.95042600099683 40.68043800006226),POINT (-73.95684800014614 40.68137966658742),A-C
59,10 mins,Franklin Ave,Clinton - Washington Aves,POINT (-73.95684800014614 40.68137966658742),POINT (-73.96583799857275 40.68326299912644),A-C
