,OBJECTID,NAME,the_geom,LINE,LINE_indexed,Order
0,271,Van Cortlandt Park - 242nd St,POINT (-73.89858300049647 40.88924800011476),1,1,1
1,6,238th St,POINT (-73.90087000018522 40.88466700064975),1,1,2
2,267,231st St,POINT (-73.90483400107873 40.87885599817935),1,1,3
3,266,Marble Hill - 225th St,POINT (-73.90983099923551 40.87456099941789),1,1,4
4,268,215th St,POINT (-73.91527899954356 40.86944399946045),1,1,5
5,269,207th St,POINT (-73.91881900132312 40.864614000525854),1,1,6
6,286,Dyckman St,POINT (-73.92553600006474 40.86053100138796),1,1,7
7,179,191st St,POINT (-73.92941199742039 40.85522500175836),1,1,8
8,178,181st St,POINT (-73.9335959996056 40.84950499974065),1,1,9
9,177,168th St,POINT (-73.94013299907257 40.840555999148535),1,1,10
10,157,157th St,POINT (-73.94488999901047 40.8340410001399),1,1,11
11,156,145th St,POINT (-73.95035999879713 40.82655099962194),1,1,12
12,172,137th St - City College,POINT (-73.95367600087873 40.82200799968475),1,1,13
13,287,125th St,POINT (-73.95837200097044 40.815580999978934),1,1,14
14,167,116th St - Columbia University,POINT (-73.96410999757751 40.807722001230864),1,1,15
15,166,Cathedral Pkwy (110th St),POINT (-73.9668470005456 40.80396699961484),1,1,16
16,158,96th St,POINT (-73.97232299915696 40.79391900121471),"1,2,3",1,17
17,159,103rd St,POINT (-73.96837899960818 40.799446000334825),1,1,18
18,86,86th St,POINT (-73.97621799859327 40.78864400073892),"1,2",1,19
19,193,79th St,POINT (-73.97991700056134 40.78393399959032),"1,2",1,20
20,162,72nd St,POINT (-73.98197000159583 40.77845300068614),"1,2,3",1,21
21,88,66th St - Lincoln Ctr,POINT (-73.98220899995783 40.77344000052039),"1,2",1,22
22,94,59th St - Columbus Circle,POINT (-73.98192900232715 40.76824700063689),"1,2",1,23
23,3,50th St,POINT (-73.98384899986625 40.76172799961419),"1,2",1,24
24,359,Times Sq - 42nd St,POINT (-73.98749500051885 40.75528999995681),"1,2,3",1,25
25,358,34th St - Penn Station,POINT (-73.99105699913983 40.75037300003949),"1,2,3",1,26
26,199,28th St,POINT (-73.99336500134324 40.74721499918219),"1,2",1,27
27,96,23rd St,POINT (-73.9956570016487 40.74408099989751),"1,2",1,28
28,203,18th St,POINT (-73.99787100060406 40.741039999802105),"1,2",1,29
29,439,14th St,POINT (-74.00020100063497 40.737825999728116),"1,2,3",1,30
30,195,Christopher St - Sheridan Sq,POINT (-74.00290599855235 40.73342200104225),"1,2",1,31
31,97,Houston St,POINT (-74.00536700180581 40.728251000730204),"1,2",1,32
32,90,Canal St,POINT (-74.0062770001748 40.72285399778783),"1,2",1,33
33,464,Franklin St,POINT (-74.00688600277107 40.719318001302135),"1,2",1,34
34,404,Chambers St,POINT (-74.00926600170112 40.71547800011327),"1,2,3",1,35
35,426,Cortlandt St,POINT (-74.01218800112292 40.7118350008202),1,1,36
36,425,Rector St,POINT (-74.01378300119742 40.707512999521775),1,1,37
37,418,South Ferry,POINT (-74.01316895919258 40.701730507574474),1,1,38
38,280,Wakefield - 241st St,POINT (-73.8506199987954 40.903125000541245),2,2,39
39,41,Nereid Ave (238 St),POINT (-73.8543153107622 40.898286515575286),"2,5",2,40
40,87,233rd St,POINT (-73.85736239521543 40.89314324138378),"2,5",2,41
41,248,225th St,POINT (-73.86021461772737 40.88802825863786),"2,5",2,42
42,273,219th St,POINT (-73.8625097078866 40.883887974625274),"2,5",2,43
43,40,Gun Hill Rd,POINT (-73.86613410538703 40.877839385172024),"2,5",2,44
44,276,Burke Ave,POINT (-73.86705361747603 40.87125880254771),"2,5",2,45
45,257,Allerton Ave,POINT (-73.86723422851625 40.86548337793927),"2,5",2,46
46,39,Pelham Pkwy,POINT (-73.86748067850041 40.8571924091606),"2,5",2,47
47,44,Bronx Park East,POINT (-73.86835609178098 40.848768666338934),"2,5",2,48
48,285,E 180th St,POINT (-73.87334609510884 40.8418630412186),"2,5",2,49
49,272,West Farms Sq - E Tremont Av,POINT (-73.87996127877184 40.84020763241799),"2,5",2,50
50,256,174th St,POINT (-73.88769359812888 40.837195550170605),"2,5",2,51
51,18,Freeman St,POINT (-73.89175225349464 40.829987446384116),"2,5",2,52
52,43,Simpson St,POINT (-73.89306639507903 40.823976841237396),"2,5",2,53
53,19,Intervale Ave,POINT (-73.89661738461646 40.822142131170786),"2,5",2,54
54,254,Prospect Ave,POINT (-73.90177778730917 40.81948726483844),"2,5",2,55
55,253,Jackson Ave,POINT (-73.9077019387083 40.81643746686396),"2,5",2,56
56,290,3rd Ave - 149th St,POINT (-73.91779152760981 40.816029252510006),"2,5",2,57
57,289,149th St - Grand Concourse,POINT (-73.92672247438611 40.81833014409742),"2,5",2,58
58,169,135th St,POINT (-73.94077000106708 40.8142290003391),"2,3",2,59
59,168,125th St,POINT (-73.94549500011411 40.807753999182815),"2,3",2,60
60,170,116th St,POINT (-73.94962500096905 40.802097999133004),"2,3",2,61
61,160,Central Park North (110th St),POINT (-73.95182200176913 40.79907499977324),"2,3",2,62
62,158,96th St,POINT (-73.97232299915696 40.79391900121471),"1,2,3",2,63
63,86,86th St,POINT (-73.97621799859327 40.78864400073892),"1,2",2,64
64,193,79th St,POINT (-73.97991700056134 40.78393399959032),"1,2",2,65
65,162,72nd St,POINT (-73.98197000159583 40.77845300068614),"1,2,3",2,66
66,88,66th St - Lincoln Ctr,POINT (-73.98220899995783 40.77344000052039),"1,2",2,67
67,94,59th St - Columbus Circle,POINT (-73.98192900232715 40.76824700063689),"1,2",2,68
68,3,50th St,POINT (-73.98384899986625 40.76172799961419),"1,2",2,69
69,359,Times Sq - 42nd St,POINT (-73.98749500051885 40.75528999995681),"1,2,3",2,70
70,358,34th St - Penn Station,POINT (-73.99105699913983 40.75037300003949),"1,2,3",2,71
71,199,28th St,POINT (-73.99336500134324 40.74721499918219),"1,2",2,72
72,96,23rd St,POINT (-73.9956570016487 40.74408099989751),"1,2",2,73
73,203,18th St,POINT (-73.99787100060406 40.741039999802105),"1,2",2,74
74,439,14th St,POINT (-74.00020100063497 40.737825999728116),"1,2,3",2,75
